,Category,Units,Committed
0,Physical Intensity (Auto Manufacturing) 1,g CO2e/km,215
1,"Physical Intensity (Energy - Energy - Oil & Gas Refiners and  Producers includes Scope 1, Scope 2) 1",g CO2e/MJ,7
