,Category,Units,Utilized
0,Absolute Total Financed Emissions (Auto Manufacturing) 1,Thousand Metric  tons CO2e,"1,011"
1,Absolute Total Financed Emissions (Aviation includes Scope  1) 1,Thousand Metric  tons CO2e,"3,486"
