,Metric,2023,2022,2021,2020,2019,Units
0,Scope 1,"55,200","55,200","55,200","47,430","52,730",metric tons CO2e
4,Scope 2 (market-based),"3,400","3,000","2,780",0,0,metric tons CO2e
