Metric,2019,2020,2021,2022,Units
Scope 1,86602,78087,73319,77476,MTCO2e
Scope 2 (market-based),4988,3614,1792,4424,MTCO2e
Scope 2 (location-based),771327,694011,569633,593495,MTCO2e
