Metric,2019,2020,2021,2022,2023,Units
Scope 1,131377.0,123025.0,146113.0,109301.0,124142.0,tCO2e
Scope 2 (market-based),323950.0,342145.0,285848.0,269678.0,279414.0,tCO2e
Scope 2 (location-based),,,,,,tCO2e
