,,2017,2018,2019,2020,2021,2022
0,GHG intensity per  monthly active person,0.00029,0.00015,0.00008,0.00001,0.00002,0.00002
1,GHG intensity per  million USD of revenue,-,-,-,-,0.49,0.58
2,-,-,,-,-,0.0061,GHG intensity per MWh 0.0058
