,,2017,2018,2019,2020,2021,2022
0,"Prineville, OR","239,000","137,000","1,000","3,000","3,862","4,501"
1,Leased data center  facilities,"98,000","102,000","188,000",-,25,72
2,Other data center- related facilities,"40,000","17,000","4,000","2,000",40,166
3,Offices total,"48,000","42,000","44,000","24,000","32,421","45,044"
