,0,1,2,3
0,Gross Carbon Footprint 4,20.57,Million metric  dioxide equivalent,Worldwide occupied  GHG Protocol
1,Gross Carbon Footprint 4,20.57,tonnes of carbon,properties / WRI/WBCSD
