,Parameter,Quantity,Units,Boundary / Protocol
0,Clean Energy Use,25.54,Million megawatt  hours (mMWh),Apple suppliers / Apple  Internal Protocol
1,Avoided GHG Emissions,18.51,Million metric tons  of carbon dioxide  equivalent  (mMtCO2e),Apple suppliers / Apple  Internal Protocol
2,Operational Capacity,"16,552",Megawatts (MWac),Apple suppliers / Apple  Internal Protocol
