,Metric,Unit,2019,2020,2021,2022,2023
0,Net zero aims,,,,,,
1,Aim 1 - Scope 1 (direct) and Scope 2 (indirect)  greenhouse gas emissions  a b,MtCO2e,54.5,45.5,35.6,31.9,32.1
2,Aim 2 - Emissions from the carbon in our upstream  oil and gas production (our Scope 3 aim)  c,MtCO2,360.9,327.6,303.6,306.7,314.9
3,Aim 3 - Average carbon intensity of our sold  energy products  d e,gCO2e/MJ,79,77,78,77,77
4,Refined energy products carbon intensity  f,gCO2e/MJ,95,92,92,92,92
5,Gas products carbon intensity  f,gCO2e/MJ,68,67,67,67,67
