,Metric,2019,2020,2021,2022,Units
0,Scope 1 Emissions (Metric Tons C02-e),"51,487","30,883","62,815","59,388",Inferred: MT CO₂e
1,"Scope 2 Emissions, Market-Based (Metrics Tons C02-e)",565,141,0,0,Inferred: MT CO₂e
2,"Scope 2 Emissions, Location-Based (Metric Tons C02-e)","26,594","28,585","42,291","41,411",Inferred: MT CO₂e
3,Scope 1 + Scope 2 (Market-Based) Emissions (Metric Tons C02-e),"52,052","31,024","62,815","59,388",Inferred: MT CO₂e
