,Metric,2022,2021,2020,2019,2018,Units
0,Scope 1,"55,200","55,200","47,430","52,730","57,440",Inferred: MT CO₂e
4,Scope 2 (market-based),"3,000","2,780",0,0,"8,730",Inferred: MT CO₂e
