iShares MSCI ACWI ETF
Fund Holdings as of,"Dec 24, 2024"
Inception Date,"Mar 26, 2008"
Shares Outstanding,"163,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"2308","DELTA ELECTRONICS INC","Information Technology","Equity","5,988,831.94","0.03","5,988,831.94","460,000.00","13.02","Taiwan","Taiwan Stock Exchange","USD","32.68","TWD","-"
"9888","BAIDU CLASS A INC","Communication","Equity","5,990,642.51","0.03","5,990,642.51","543,260.00","11.03","China","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"WBD","WARNER BROS. DISCOVERY INC SERIES","Communication","Equity","5,985,236.55","0.03","5,985,236.55","567,321.00","10.55","United States","NASDAQ","USD","1.00","USD","-"
"NTAP","NETAPP INC","Information Technology","Equity","5,974,562.16","0.03","5,974,562.16","50,274.00","118.84","United States","NASDAQ","USD","1.00","USD","-"
"RIO","RIO TINTO LTD","Materials","Equity","5,957,565.29","0.03","5,957,565.29","82,350.00","72.34","Australia","Asx - All Markets","USD","1.61","AUD","Jan 02, 1985"
"LPLA","LPL FINANCIAL HOLDINGS INC","Financials","Equity","5,953,715.68","0.03","5,953,715.68","17,776.00","334.93","United States","NASDAQ","USD","1.00","USD","-"
"PPL","PPL CORP","Utilities","Equity","5,948,293.80","0.03","5,948,293.80","182,463.00","32.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SLHN","SWISS LIFE HOLDING AG","Financials","Equity","5,944,897.37","0.03","5,944,897.37","7,688.00","773.27","Switzerland","SIX Swiss Exchange","USD","0.90","CHF","-"
"UCB","UCB SA","Health Care","Equity","5,939,070.77","0.03","5,939,070.77","30,173.00","196.83","Belgium","Nyse Euronext - Euronext Brussels","USD","0.96","EUR","-"
"WST","WEST PHARMACEUTICAL SERVICES INC","Health Care","Equity","5,930,294.17","0.03","5,930,294.17","17,821.00","332.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADM","ARCHER DANIELS MIDLAND","Consumer Staples","Equity","5,902,496.03","0.03","5,902,496.03","116,581.00","50.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PHM","PULTEGROUP INC","Consumer Discretionary","Equity","5,891,346.25","0.03","5,891,346.25","53,195.00","110.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ML","MICHELIN","Consumer Discretionary","Equity","5,880,317.26","0.03","5,880,317.26","177,541.00","33.12","France","Nyse Euronext - Euronext Paris","USD","0.96","EUR","-"
"6762","TDK CORP","Information Technology","Equity","5,872,551.48","0.03","5,872,551.48","463,500.00","12.67","Japan","Tokyo Stock Exchange","USD","157.34","JPY","-"
"CPAY","CORPAY INC","Financials","Equity","5,866,513.75","0.03","5,866,513.75","16,943.00","346.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VTR","VENTAS REIT INC","Real Estate","Equity","5,831,338.22","0.03","5,831,338.22","98,386.00","59.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"6301","KOMATSU LTD","Industrials","Equity","5,827,459.01","0.03","5,827,459.01","218,100.00","26.72","Japan","Tokyo Stock Exchange","USD","157.34","JPY","-"
"8630","SOMPO HOLDINGS INC","Financials","Equity","5,807,499.68","0.03","5,807,499.68","222,000.00","26.16","Japan","Tokyo Stock Exchange","USD","157.34","JPY","-"
"4661","ORIENTAL LAND LTD","Consumer Discretionary","Equity","5,791,149.74","0.03","5,791,149.74","269,500.00","21.49","Japan","Tokyo Stock Exchange","USD","157.34","JPY","-"
"HCLTECH","HCL TECHNOLOGIES LTD","Information Technology","Equity","5,767,934.73","0.03","5,767,934.73","259,066.00","22.26","India","National Stock Exchange Of India","USD","85.20","INR","-"
"NOKIA","NOKIA","Information Technology","Equity","5,746,435.92","0.03","5,746,435.92","1,304,413.00","4.41","Finland","Nasdaq Omx Helsinki Ltd.","USD","0.96","EUR","Jan 01, 1998"
"FER","FERROVIAL","Industrials","Equity","5,743,113.85","0.03","5,743,113.85","136,315.00","42.13","Spain","Bolsa De Madrid","USD","0.96","EUR","-"
"HAL","HALLIBURTON","Energy","Equity","5,729,078.52","0.03","5,729,078.52","213,453.00","26.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"2881","FUBON FINANCIAL HOLDING LTD","Financials","Equity","5,722,202.34","0.03","5,722,202.34","2,037,210.00","2.81","Taiwan","Taiwan Stock Exchange","USD","32.68","TWD","-"
"6752","PANASONIC HOLDINGS CORP","Consumer Discretionary","Equity","5,717,537.82","0.03","5,717,537.82","562,600.00","10.16","Japan","Tokyo Stock Exchange","USD","157.34","JPY","-"
"MKL","MARKEL GROUP INC","Financials","Equity","5,711,193.02","0.03","5,711,193.02","3,254.00","1,755.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RI","PERNOD RICARD SA","Consumer Staples","Equity","5,697,956.25","0.03","5,697,956.25","50,955.00","111.82","France","Nyse Euronext - Euronext Paris","USD","0.96","EUR","-"
"DRI","DARDEN RESTAURANTS INC","Consumer Discretionary","Equity","5,698,424.50","0.03","5,698,424.50","30,530.00","186.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GIB.A","CGI INC CLASS A","Information Technology","Equity","5,695,137.36","0.03","5,695,137.36","51,639.00","110.29","Canada","Toronto Stock Exchange","USD","1.44","CAD","-"
"TPL","TEXAS PACIFIC LAND CORP","Energy","Equity","5,695,686.00","0.03","5,695,686.00","4,905.00","1,161.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DSY","DASSAULT SYSTEMES","Information Technology","Equity","5,690,306.38","0.03","5,690,306.38","163,689.00","34.76","France","Nyse Euronext - Euronext Paris","USD","0.96","EUR","-"
"CDW","CDW CORP","Information Technology","Equity","5,687,141.34","0.03","5,687,141.34","32,251.00","176.34","United States","NASDAQ","USD","1.00","USD","-"
"CCO","CAMECO CORP","Energy","Equity","5,634,977.30","0.03","5,634,977.30","107,110.00","52.61","Canada","Toronto Stock Exchange","USD","1.44","CAD","-"
"SBAC","SBA COMMUNICATIONS REIT CORP CLASS","Real Estate","Equity","5,614,558.08","0.03","5,614,558.08","27,718.00","202.56","United States","NASDAQ","USD","1.00","USD","-"
"ERIC B","ERICSSON B","Information Technology","Equity","5,610,748.72","0.03","5,610,748.72","698,869.00","8.03","Sweden","Nasdaq Omx Nordic","USD","11.11","SEK","Jan 01, 1998"
"HUBB","HUBBELL INC","Industrials","Equity","5,598,806.36","0.03","5,598,806.36","12,959.00","432.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PETR3","PETROLEO BRASILEIRO SA PETROBRAS","Energy","Equity","5,595,858.99","0.03","5,595,858.99","865,862.00","6.46","Brazil","XBSP","USD","6.19","BRL","-"
"CINF","CINCINNATI FINANCIAL CORP","Financials","Equity","5,584,178.80","0.03","5,584,178.80","38,440.00","145.27","United States","NASDAQ","USD","1.00","USD","-"
"BMW","BMW AG","Consumer Discretionary","Equity","5,573,924.32","0.03","5,573,924.32","69,709.00","79.96","Germany","Xetra","USD","0.96","EUR","-"
"FNV","FRANCO NEVADA CORP","Materials","Equity","5,564,946.85","0.03","5,564,946.85","46,893.00","118.67","Canada","Toronto Stock Exchange","USD","1.44","CAD","-"
"RF","REGIONS FINANCIAL CORP","Financials","Equity","5,543,864.04","0.03","5,543,864.04","230,802.00","24.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FCNCA","FIRST CITIZENS BANCSHARES INC CLAS","Financials","Equity","5,505,169.86","0.03","5,505,169.86","2,557.00","2,152.98","United States","NASDAQ","USD","1.00","USD","-"
"HINDUNILVR","HINDUSTAN UNILEVER LTD","Consumer Staples","Equity","5,501,427.93","0.03","5,501,427.93","200,693.00","27.41","India","National Stock Exchange Of India","USD","85.20","INR","-"
"4901","FUJIFILM HOLDINGS CORP","Information Technology","Equity","5,496,536.16","0.03","5,496,536.16","266,100.00","20.66","Japan","Tokyo Stock Exchange","USD","157.34","JPY","-"
"VNA","VONOVIA SE","Real Estate","Equity","5,481,569.02","0.03","5,481,569.02","180,080.00","30.44","Germany","Xetra","USD","0.96","EUR","-"
"BAJFINANCE","BAJAJ FINANCE LTD","Financials","Equity","5,479,881.34","0.03","5,479,881.34","68,578.00","79.91","India","National Stock Exchange Of India","USD","85.20","INR","-"
"WOW","WOOLWORTHS GROUP LTD","Consumer Staples","Equity","5,469,890.71","0.03","5,469,890.71","289,001.00","18.93","Australia","Asx - All Markets","USD","1.61","AUD","-"
"105560","KB FINANCIAL GROUP INC","Financials","Equity","5,463,783.04","0.03","5,463,783.04","92,000.00","59.39","Korea (South)","Korea Exchange (Stock Market)","USD","1,456.50","KRW","-"
"CNP","CENTERPOINT ENERGY INC","Utilities","Equity","5,454,832.29","0.03","5,454,832.29","168,411.00","32.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EMAAR","EMAAR PROPERTIES","Real Estate","Equity","5,444,896.88","0.03","5,444,896.88","1,568,536.00","3.47","United Arab Emirates","Dubai Financial Market","USD","3.67","AED","-"
"PTC","PTC INC","Information Technology","Equity","5,436,003.40","0.03","5,436,003.40","29,054.00","187.10","United States","NASDAQ","USD","1.00","USD","-"
"WSP","WSP GLOBAL INC","Industrials","Equity","5,407,994.65","0.03","5,407,994.65","30,590.00","176.79","Canada","Toronto Stock Exchange","USD","1.44","CAD","-"
"WAT","WATERS CORP","Health Care","Equity","5,397,241.60","0.03","5,397,241.60","14,464.00","373.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FE","FIRSTENERGY CORP","Utilities","Equity","5,394,085.36","0.03","5,394,085.36","135,224.00","39.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IFF","INTERNATIONAL FLAVORS & FRAGRANCES","Materials","Equity","5,384,228.82","0.03","5,384,228.82","63,262.00","85.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"8053","SUMITOMO CORP","Industrials","Equity","5,379,499.81","0.03","5,379,499.81","256,100.00","21.01","Japan","Tokyo Stock Exchange","USD","157.34","JPY","-"
"NTR","NUTRIEN LTD","Materials","Equity","5,379,599.49","0.03","5,379,599.49","120,980.00","44.47","Canada","Toronto Stock Exchange","USD","1.44","CAD","-"
"SEB A","SKANDINAVISKA ENSKILDA BANKEN","Financials","Equity","5,376,227.45","0.03","5,376,227.45","399,778.00","13.45","Sweden","Nasdaq Omx Nordic","USD","11.11","SEK","-"
"K","KELLANOVA","Consumer Staples","Equity","5,372,024.58","0.03","5,372,024.58","66,469.00","80.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CABK","CAIXABANK SA","Financials","Equity","5,372,540.63","0.03","5,372,540.63","1,004,983.00","5.35","Spain","Bolsa De Madrid","USD","0.96","EUR","-"
"KOTAKBANK","KOTAK MAHINDRA BANK LTD","Financials","Equity","5,368,273.01","0.03","5,368,273.01","261,504.00","20.53","India","National Stock Exchange Of India","USD","85.20","INR","-"
"LYV","LIVE NATION ENTERTAINMENT INC","Communication","Equity","5,366,796.60","0.03","5,366,796.60","40,255.00","133.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PRU","PRUDENTIAL PLC","Financials","Equity","5,352,233.67","0.03","5,352,233.67","674,057.00","7.94","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"TDY","TELEDYNE TECHNOLOGIES INC","Information Technology","Equity","5,345,762.54","0.03","5,345,762.54","11,254.00","475.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ZBH","ZIMMER BIOMET HOLDINGS INC","Health Care","Equity","5,327,015.80","0.03","5,327,015.80","49,646.00","107.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"4578","OTSUKA HOLDINGS LTD","Health Care","Equity","5,303,657.05","0.03","5,303,657.05","97,100.00","54.62","Japan","Tokyo Stock Exchange","USD","157.34","JPY","-"
"QNBK","QATAR NATIONAL BANK","Financials","Equity","5,301,533.78","0.03","5,301,533.78","1,116,419.00","4.75","Qatar","Qatar Exchange","USD","3.64","QAR","-"
"ZOMATO","ZOMATO LTD","Consumer Discretionary","Equity","5,293,068.81","0.03","5,293,068.81","1,640,808.00","3.23","India","National Stock Exchange Of India","USD","85.20","INR","-"
"ILMN","ILLUMINA INC","Health Care","Equity","5,287,116.63","0.03","5,287,116.63","39,103.00","135.21","United States","NASDAQ","USD","1.00","USD","-"
"BIIB","BIOGEN INC","Health Care","Equity","5,266,217.78","0.03","5,266,217.78","35,339.00","149.02","United States","NASDAQ","USD","1.00","USD","-"
"005380","HYUNDAI MOTOR","Consumer Discretionary","Equity","5,245,201.17","0.03","5,245,201.17","35,287.00","148.64","Korea (South)","Korea Exchange (Stock Market)","USD","1,456.50","KRW","-"
"EME","EMCOR GROUP INC","Industrials","Equity","5,215,189.48","0.03","5,215,189.48","11,252.00","463.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"8801","MITSUI FUDOSAN LTD","Real Estate","Equity","5,209,787.72","0.03","5,209,787.72","658,400.00","7.91","Japan","Tokyo Stock Exchange","USD","157.34","JPY","-"
"INVH","INVITATION HOMES INC","Real Estate","Equity","5,210,327.36","0.03","5,210,327.36","159,728.00","32.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ULTA","ULTA BEAUTY INC","Consumer Discretionary","Equity","5,181,059.62","0.03","5,181,059.62","11,902.00","435.31","United States","NASDAQ","USD","1.00","USD","-"
"NSIS B","NOVOZYMES B","Materials","Equity","5,174,004.87","0.03","5,174,004.87","91,046.00","56.83","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","7.18","DKK","-"
"ATO","ATMOS ENERGY CORP","Utilities","Equity","5,172,135.68","0.03","5,172,135.68","36,928.00","140.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CFG","CITIZENS FINANCIAL GROUP INC","Financials","Equity","5,164,456.00","0.03","5,164,456.00","117,374.00","44.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"6723","RENESAS ELECTRONICS CORP","Information Technology","Equity","5,150,842.76","0.03","5,150,842.76","402,400.00","12.80","Japan","Tokyo Stock Exchange","USD","157.34","JPY","-"
"8002","MARUBENI CORP","Industrials","Equity","5,147,486.34","0.03","5,147,486.34","352,900.00","14.59","Japan","Tokyo Stock Exchange","USD","157.34","JPY","-"
"PPL","PEMBINA PIPELINE CORP","Energy","Equity","5,143,690.23","0.03","5,143,690.23","139,442.00","36.89","Canada","Toronto Stock Exchange","USD","1.44","CAD","-"
"2882","CATHAY FINANCIAL HOLDING LTD","Financials","Equity","5,144,471.49","0.03","5,144,471.49","2,440,264.00","2.11","Taiwan","Taiwan Stock Exchange","USD","32.68","TWD","-"
"PHIA","KONINKLIJKE PHILIPS NV","Health Care","Equity","5,112,261.82","0.03","5,112,261.82","200,865.00","25.45","Netherlands","Euronext Amsterdam","USD","0.96","EUR","-"
"NRG","NRG ENERGY INC","Utilities","Equity","5,112,556.68","0.03","5,112,556.68","54,956.00","93.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"STE","STERIS","Health Care","Equity","5,108,486.40","0.03","5,108,486.40","24,480.00","208.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PSTG","PURE STORAGE INC CLASS A","Information Technology","Equity","5,097,379.00","0.03","5,097,379.00","78,724.00","64.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SSE","SSE PLC","Utilities","Equity","5,095,131.25","0.03","5,095,131.25","253,074.00","20.13","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"2891","CTBC FINANCIAL HOLDING LTD","Financials","Equity","5,085,901.86","0.03","5,085,901.86","4,224,142.00","1.20","Taiwan","Taiwan Stock Exchange","USD","32.68","TWD","-"
"HOOD","ROBINHOOD MARKETS INC CLASS A","Financials","Equity","5,069,089.76","0.03","5,069,089.76","128,072.00","39.58","United States","NASDAQ","USD","1.00","USD","-"
"FSR","FIRSTRAND LTD","Financials","Equity","5,069,397.78","0.03","5,069,397.78","1,221,702.00","4.15","South Africa","Johannesburg Stock Exchange","USD","18.70","ZAR","-"
"ZM","ZOOM COMMUNICATIONS INC CLASS A","Information Technology","Equity","5,054,872.68","0.03","5,054,872.68","59,004.00","85.67","United States","NASDAQ","USD","1.00","USD","-"
"6273","SMC (JAPAN) CORP","Industrials","Equity","5,052,802.85","0.03","5,052,802.85","12,800.00","394.75","Japan","Tokyo Stock Exchange","USD","157.34","JPY","-"
"LII","LENNOX INTERNATIONAL INC","Industrials","Equity","5,049,671.13","0.03","5,049,671.13","8,001.00","631.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UMG","UNIVERSAL MUSIC GROUP NV","Communication","Equity","5,042,211.20","0.03","5,042,211.20","197,548.00","25.52","Netherlands","Euronext Amsterdam","USD","0.96","EUR","-"
"ES","EVERSOURCE ENERGY","Utilities","Equity","5,027,809.28","0.03","5,027,809.28","87,776.00","57.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NTRS","NORTHERN TRUST CORP","Financials","Equity","5,020,422.55","0.03","5,020,422.55","48,455.00","103.61","United States","NASDAQ","USD","1.00","USD","-"
"GEBN","GEBERIT AG","Industrials","Equity","5,004,020.87","0.03","5,004,020.87","8,801.00","568.57","Switzerland","SIX Swiss Exchange","USD","0.90","CHF","-"
"HEIA","HEINEKEN NV","Consumer Staples","Equity","4,980,222.70","0.03","4,980,222.70","69,999.00","71.15","Netherlands","Euronext Amsterdam","USD","0.96","EUR","-"
"VOD","VODAFONE GROUP PLC","Communication","Equity","4,962,318.93","0.03","4,962,318.93","5,840,012.00","0.85","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"DTG","DAIMLER TRUCK HOLDING E AG","Industrials","Equity","4,957,255.76","0.03","4,957,255.76","130,400.00","38.02","Germany","Xetra","USD","0.96","EUR","-"
"HEXA B","HEXAGON CLASS B","Information Technology","Equity","4,941,791.13","0.03","4,941,791.13","519,573.00","9.51","Sweden","Nasdaq Omx Nordic","USD","11.11","SEK","-"
"7010","SAUDI TELECOM","Communication","Equity","4,936,807.24","0.03","4,936,807.24","457,096.00","10.80","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"6701","NEC CORP","Information Technology","Equity","4,937,778.06","0.03","4,937,778.06","57,000.00","86.63","Japan","Tokyo Stock Exchange","USD","157.34","JPY","-"
"068270","CELLTRION INC","Health Care","Equity","4,925,200.41","0.03","4,925,200.41","36,901.00","133.47","Korea (South)","Korea Exchange (Stock Market)","USD","1,456.50","KRW","-"
"EXE","EXPAND ENERGY CORP","Energy","Equity","4,923,794.52","0.03","4,923,794.52","50,516.00","97.47","United States","NASDAQ","USD","1.00","USD","-"
"SUNPHARMA","SUN PHARMACEUTICAL INDUSTRIES LTD","Health Care","Equity","4,921,005.99","0.03","4,921,005.99","230,498.00","21.35","India","National Stock Exchange Of India","USD","85.20","INR","-"
"PKG","PACKAGING CORP OF AMERICA","Materials","Equity","4,920,316.46","0.03","4,920,316.46","21,503.00","228.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVE","CENOVUS ENERGY INC","Energy","Equity","4,907,783.26","0.03","4,907,783.26","334,350.00","14.68","Canada","Toronto Stock Exchange","USD","1.44","CAD","-"
"EBS","ERSTE GROUP BANK AG","Financials","Equity","4,908,539.79","0.03","4,908,539.79","79,891.00","61.44","Austria","Wiener Boerse Ag","USD","0.96","EUR","-"
"5108","BRIDGESTONE CORP","Consumer Discretionary","Equity","4,894,117.83","0.03","4,894,117.83","144,500.00","33.87","Japan","Tokyo Stock Exchange","USD","157.34","JPY","-"
"ZBRA","ZEBRA TECHNOLOGIES CORP CLASS A","Information Technology","Equity","4,883,684.00","0.03","4,883,684.00","12,350.00","395.44","United States","NASDAQ","USD","1.00","USD","-"
"GLE","SOCIETE GENERALE SA","Financials","Equity","4,879,905.28","0.02","4,879,905.28","177,226.00","27.53","France","Nyse Euronext - Euronext Paris","USD","0.96","EUR","-"
"L","LOBLAW COMPANIES LTD","Consumer Staples","Equity","4,866,063.92","0.02","4,866,063.92","36,626.00","132.86","Canada","Toronto Stock Exchange","USD","1.44","CAD","-"
"1211","SAUDI ARABIAN MINING","Materials","Equity","4,850,219.74","0.02","4,850,219.74","370,125.00","13.10","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"DOCU","DOCUSIGN INC","Information Technology","Equity","4,843,230.70","0.02","4,843,230.70","51,062.00","94.85","United States","NASDAQ","USD","1.00","USD","-"
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","4,838,699.10","0.02","4,838,699.10","78,423.00","61.70","United States","NASDAQ","USD","1.00","USD","-"
"TER","TERADYNE INC","Information Technology","Equity","4,837,241.16","0.02","4,837,241.16","37,221.00","129.96","United States","NASDAQ","USD","1.00","USD","-"
"WY","WEYERHAEUSER REIT","Real Estate","Equity","4,822,455.96","0.02","4,822,455.96","170,646.00","28.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CBOE","CBOE GLOBAL MARKETS INC","Financials","Equity","4,815,730.11","0.02","4,815,730.11","24,771.00","194.41","United States","Cboe BZX formerly known as BATS","USD","1.00","USD","-"
"BAM","BROOKFIELD ASSET MANAGEMENT VOTING","Financials","Equity","4,816,762.37","0.02","4,816,762.37","86,840.00","55.47","Canada","Toronto Stock Exchange","USD","1.44","CAD","-"
"POW","POWER CORPORATION OF CANADA","Financials","Equity","4,810,482.47","0.02","4,810,482.47","152,787.00","31.48","Canada","Toronto Stock Exchange","USD","1.44","CAD","-"
"CLX","CLOROX","Consumer Staples","Equity","4,794,545.91","0.02","4,794,545.91","29,337.00","163.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"669","TECHTRONIC INDUSTRIES LTD","Industrials","Equity","4,786,491.83","0.02","4,786,491.83","362,000.00","13.22","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"4452","KAO CORP","Consumer Staples","Equity","4,773,992.63","0.02","4,773,992.63","117,000.00","40.80","Japan","Tokyo Stock Exchange","USD","157.34","JPY","-"
"FTS","FORTIS INC","Utilities","Equity","4,773,435.32","0.02","4,773,435.32","114,320.00","41.76","Canada","Toronto Stock Exchange","USD","1.44","CAD","-"
"6178","JAPAN POST HOLDINGS LTD","Financials","Equity","4,766,109.06","0.02","4,766,109.06","499,600.00","9.54","Japan","Tokyo Stock Exchange","USD","157.34","JPY","-"
"QSR","RESTAURANTS BRANDS INTERNATIONAL I","Consumer Discretionary","Equity","4,754,953.09","0.02","4,754,953.09","72,371.00","65.70","Canada","Toronto Stock Exchange","USD","1.44","CAD","-"
"LH","LABCORP HOLDINGS INC","Health Care","Equity","4,755,491.78","0.02","4,755,491.78","20,722.00","229.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DVN","DEVON ENERGY CORP","Energy","Equity","4,746,668.08","0.02","4,746,668.08","151,942.00","31.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VOW3","VOLKSWAGEN NON-VOTING PREF AG","Consumer Discretionary","Equity","4,743,710.33","0.02","4,743,710.33","52,442.00","90.46","Germany","Xetra","USD","0.96","EUR","Jan 02, 1990"
"AER","AERCAP HOLDINGS NV","Industrials","Equity","4,732,890.57","0.02","4,732,890.57","49,471.00","95.67","Netherlands","New York Stock Exchange Inc.","USD","1.00","USD","-"
"2802","AJINOMOTO INC","Consumer Staples","Equity","4,722,867.68","0.02","4,722,867.68","116,000.00","40.71","Japan","Tokyo Stock Exchange","USD","157.34","JPY","-"
"FMG","FORTESCUE LTD","Materials","Equity","4,721,047.21","0.02","4,721,047.21","411,976.00","11.46","Australia","Asx - All Markets","USD","1.61","AUD","-"
"TRU","TRANSUNION","Industrials","Equity","4,713,832.32","0.02","4,713,832.32","49,344.00","95.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ATCO B","ATLAS COPCO CLASS B","Industrials","Equity","4,713,025.38","0.02","4,713,025.38","351,167.00","13.42","Sweden","Nasdaq Omx Nordic","USD","11.11","SEK","-"
"MKC","MCCORMICK & CO NON-VOTING INC","Consumer Staples","Equity","4,703,336.28","0.02","4,703,336.28","60,276.00","78.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FWONK","LIBERTY MEDIA FORMULA ONE CORP SER","Communication","Equity","4,687,415.52","0.02","4,687,415.52","49,362.00","94.96","United States","NASDAQ","USD","1.00","USD","-"
"FDS","FACTSET RESEARCH SYSTEMS INC","Financials","Equity","4,687,479.00","0.02","4,687,479.00","9,540.00","491.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LDOS","LEIDOS HOLDINGS INC","Industrials","Equity","4,685,929.04","0.02","4,685,929.04","32,188.00","145.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VIE","VEOLIA ENVIRON. SA","Utilities","Equity","4,672,323.34","0.02","4,672,323.34","167,756.00","27.85","France","Nyse Euronext - Euronext Paris","USD","0.96","EUR","-"
"SNA","SNAP ON INC","Industrials","Equity","4,670,213.60","0.02","4,670,213.60","13,520.00","345.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DSFIR","DSM FIRMENICH AG","Materials","Equity","4,662,019.19","0.02","4,662,019.19","45,803.00","101.78","Netherlands","Euronext Amsterdam","USD","0.96","EUR","-"
"COO","COOPER INC","Health Care","Equity","4,657,205.80","0.02","4,657,205.80","50,180.00","92.81","United States","NASDAQ","USD","1.00","USD","-"
"NBK","NATIONAL BANK OF KUWAIT","Financials","Equity","4,658,011.76","0.02","4,658,011.76","1,640,951.00","2.84","Kuwait","Kuwait Stock Exchange","USD","0.31","KWD","-"
"FSLR","FIRST SOLAR INC","Information Technology","Equity","4,644,263.61","0.02","4,644,263.61","24,941.00","186.21","United States","NASDAQ","USD","1.00","USD","-"
"BAYN","BAYER AG","Health Care","Equity","4,642,343.00","0.02","4,642,343.00","236,475.00","19.63","Germany","Xetra","USD","0.96","EUR","-"
"SAND","SANDVIK","Industrials","Equity","4,643,076.97","0.02","4,643,076.97","259,684.00","17.88","Sweden","Nasdaq Omx Nordic","USD","11.11","SEK","-"
"PODD","INSULET CORP","Health Care","Equity","4,639,428.75","0.02","4,639,428.75","17,625.00","263.23","United States","NASDAQ","USD","1.00","USD","-"
"DANSKE","DANSKE BANK","Financials","Equity","4,636,673.86","0.02","4,636,673.86","166,445.00","27.86","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","7.18","DKK","-"
"MRK","MERCK","Health Care","Equity","4,635,197.12","0.02","4,635,197.12","32,355.00","143.26","Germany","Xetra","USD","0.96","EUR","-"
"YUMC","YUM CHINA HOLDINGS INC","Consumer Discretionary","Equity","4,630,976.16","0.02","4,630,976.16","91,848.00","50.42","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LYB","LYONDELLBASELL INDUSTRIES NV CLASS","Materials","Equity","4,627,089.24","0.02","4,627,089.24","62,427.00","74.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PNR","PENTAIR","Industrials","Equity","4,616,189.70","0.02","4,616,189.70","45,102.00","102.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMS","CMS ENERGY CORP","Utilities","Equity","4,613,119.16","0.02","4,613,119.16","69,038.00","66.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BURL","BURLINGTON STORES INC","Consumer Discretionary","Equity","4,590,533.28","0.02","4,590,533.28","15,882.00","289.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
