iShares MSCI ACWI ETF
Fund Holdings as of,"Dec 24, 2024"
Inception Date,"Mar 26, 2008"
Shares Outstanding,"163,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","58,995,880.65","0.30","58,995,880.65","985,729.00","59.85","United States","NASDAQ","USD","1.00","USD","-"
"NOW","SERVICENOW INC","Information Technology","Equity","56,683,166.76","0.29","56,683,166.76","51,271.00","1,105.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","55,717,780.62","0.29","55,717,780.62","154,074.00","361.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NESN","NESTLE SA","Consumer Staples","Equity","53,099,863.11","0.27","53,099,863.11","645,721.00","82.23","Switzerland","SIX Swiss Exchange","USD","0.90","CHF","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","51,739,300.10","0.26","51,739,300.10","175,990.00","293.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","51,229,858.12","0.26","51,229,858.12","335,252.00","152.81","United States","NASDAQ","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","50,685,018.19","0.26","50,685,018.19","225,859.00","224.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","50,551,234.91","0.26","50,551,234.91","400,279.00","126.29","United States","NASDAQ","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","50,273,010.48","0.26","50,273,010.48","446,633.00","112.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","50,162,092.55","0.26","50,162,092.55","117,815.00","425.77","United States","NASDAQ","USD","1.00","USD","-"
