,Parameter,Quantity,Units,Boundary / Protocol
0,"485,000",tCO2e,Worldwide occupied  properties / WRI/WBCSD  GHG Protocol Value Chain,Carbon Removals
1,"15,600,000",tCO2e,Worldwide occupied  properties / WRI/WBCSD,Net Footprint 6
